Country,Location,Airbnb_ListingID,Scrape_Date,Lat,Lng,City,LocalizedCity,LocalizedNeighbourhood_Source,LocalizedNeighbourhood_ML,LocalizedNeighbourhood,ListingTitle,Bathrooms,Bedrooms,Beds,MaxGuests,Host_ID,Host_FirstName,Host_isSuperhost,isNewListing,isSuperhost,RoomType,RoomType_Clean,SpaceType,SpaceType_Clean,isHomeOrServicedApartment,PictureCount,ReviewCount,ReviewScore,StarRating,isLimitedAirbnbData,BasicNightPrice_CheckIn,BasicNightPrice_CheckOut,Currency,BasicNightPrice,Taxes,BasicNightPriceString_USD,BasicNightPrice_USD,Taxes_USD,isOverpricedPerBeds_Calc,isOverpricedPerGuest_Calc,Amenities_SelfCheckIn,HostLanguages_Verbose,RecordInserted
India,Bengaluru,13183709,2025-10-31,13.021659,77.628189,Bengaluru,Bengaluru,Lingarajapura,Lingarajapura,Lingarajapura,1 Bedroom Penthouse apartment in HBR,1.0,1,1.0,2,33791251,Omer,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,28,1,,,False,,,INR,,,,,,0,0,False,['English' 'Hindi'],2025-10-31 02:01:53
India,Bengaluru,654064165740107808,2025-10-31,13.0155,77.67148,Bengaluru,Bengaluru,Ramamurthy Nagar,Ramamurthy Nagar,Ramamurthy Nagar,A comfortable stay with family,2.5,0,3.0,6,222363015,M K Krishna,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,9,0,,,False,2025-11-01,2025-11-06,INR,3545.4,709.08,5 nights x $40.51,40.0,8.0,0,0,False,['English' 'Hindi'],2025-10-31 02:07:21
India,Bengaluru,1411530165672374120,2025-10-31,12.867241109014824,77.55796918706581,Bengaluru,Bengaluru,,,,Modern 1BHK @ JP Nagar near Forum South JP201,1.0,1,1.0,2,666454316,Imran Ul,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,12,4.67,4.5,False,2025-11-01,2025-11-06,INR,2836.32,443.18,5 nights x $32.06,32.0,5.0,0,0,True,['Arabic' 'English' 'Hindi' 'Kannada' 'Urdu'],2025-10-31 02:07:56
India,Bengaluru,920610774197649433,2025-10-31,12.98272,77.70497,Bengaluru,Bengaluru,Mahadevapura,Mahadevapura,Mahadevapura,Studio apartment near Bagmane,1.0,1,2.0,2,184352014,Suneeta,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,5,40,4.68,4.5,False,2025-11-07,2025-11-12,INR,1772.7,443.18,5 nights x $20.31,20.0,5.0,0,0,True,['Bengali' 'English' 'Hindi'],2025-10-31 02:08:19
India,Bengaluru,716367382981245820,2025-10-31,12.98348,77.70584,Bengaluru,Bengaluru,Mahadevapura,Mahadevapura,Mahadevapura,Apartment next to Bagmane Constellation,1.5,1,1.0,2,184352014,Suneeta,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,6,36,4.72,4.5,False,2025-11-01,2025-11-06,INR,1772.7,443.18,5 nights x $20.31,20.0,5.0,0,0,True,['Bengali' 'English' 'Hindi'],2025-10-31 02:08:23
India,Bengaluru,683921075070665289,2025-10-31,13.00705,77.56473,Bengaluru,Bengaluru,Malleswaram,Malleswaram,Malleswaram,"2BHK Flat1400sft Balcony sitout,16 Mane,Maleswaram",2.0,2,2.0,6,311692957,Maurella,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,35,81,4.91,5.0,False,2025-12-17,2025-12-22,INR,7888.52,1595.43,5 nights x $89.39,89.0,18.0,0,0,True,['English' 'Hindi'],2025-10-31 02:09:14
India,Bengaluru,1511319896764762452,2025-10-31,12.9084965,77.55083499999999,Bengaluru,Bengaluru,Kumaraswamy Layout,Kumaraswamy Layout,Kumaraswamy Layout,"Harmony Hub Unit 3 B @ Chikkalasandra, Uttarahalli",2.0,2,1.0,4,31305424,Srikanth,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,4,5.0,5.0,False,2025-11-04,2025-11-09,INR,1949.97,354.54,5 nights x $22.58,22.0,4.0,0,0,True,[],2025-10-31 02:09:31
India,Bengaluru,1461669273554824497,2025-10-31,13.07021514682732,77.65371940969335,Bengaluru,Bengaluru,Narayanpur,Narayanpur,Narayanpur,"Chic 1BHK Stay | Prime Spot Behind BYG, Hennur 302",1.0,1,1.0,2,593322871,Syed,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,23,5.0,5.0,False,2025-11-03,2025-11-08,INR,1949.97,443.18,5 nights x $22.51,22.0,5.0,0,0,True,['English' 'French' 'Hindi' 'Kannada' 'Tamil'],2025-10-31 02:09:47
India,Bengaluru,1461665338512581863,2025-10-31,13.07145,77.65265,Bengaluru,Bengaluru,Narayanpur,Narayanpur,Narayanpur,"Spacious 2BHK Retreat, Trendy Hennur Location -301",2.0,2,2.0,4,593322871,Syed,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,17,4.59,4.5,False,2025-11-06,2025-11-11,INR,2570.41,620.45,5 nights x $29.70,29.0,7.0,0,0,True,['English' 'French' 'Hindi' 'Kannada' 'Tamil'],2025-10-31 02:09:49
India,Bengaluru,1362179578789339986,2025-10-31,13.0589327,77.6312986,Bengaluru,Bengaluru,Thanisandra Nagavara,Thanisandra Nagavara,Thanisandra Nagavara,Premium 2-BHK Near Manyata Tech Park - 302,2.0,2,2.0,4,232048051,Arbaaz,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,25,4.84,5.0,False,2025-11-01,2025-11-06,INR,4254.48,886.35,5 nights x $48.75,48.0,10.0,0,0,True,['English' 'Gujarati' 'Hindi'],2025-10-31 02:10:03
India,Bengaluru,753216276133523012,2025-10-31,13.0154,77.65697,Bangalore,Bengaluru,Banaswadi,Banaswadi,Banaswadi,Refined Home with Terrace in Prime Location!,2.0,2,2.0,4,189693075,Susan,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,22,105,4.88,5.0,False,2025-11-23,2025-11-28,INR,4165.85,797.72,5 nights x $47.26,47.0,9.0,0,0,True,[],2025-10-31 02:10:13
India,Bengaluru,1330556412253323692,2025-10-31,13.005260581442897,77.6530025955279,Bengaluru,Bengaluru,Banaswadi,Banaswadi,Banaswadi,Luxury Studio Near Indiranagar - 402,1.0,1,1.0,2,232048051,Arbaaz,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,11,4.64,4.5,False,2025-11-01,2025-11-06,INR,2481.78,531.81,5 nights x $28.70,28.0,6.0,0,0,True,['English' 'Gujarati' 'Hindi'],2025-10-31 02:10:16
India,Bengaluru,852051128722309238,2025-10-31,13.0153,77.65713,Bengaluru,Bengaluru,Banaswadi,Banaswadi,Banaswadi,An Amazing Urban Get Away 16 guests,6.0,6,6.0,16,189693075,Susan,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,30,3,5.0,5.0,False,2025-11-01,2025-11-06,INR,19588.34,14713.41,5 nights x $221.46,221.0,166.0,0,0,True,[],2025-10-31 02:10:19
India,Bengaluru,50123490,2025-10-31,13.07112,77.59689,Bengaluru,Bengaluru,,,,Super Cosy flat Jakkur Bangalore,2.0,2,4.0,4,66057252,Arval,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,14,5,4.0,4.0,False,2025-11-01,2025-11-06,INR,3811.31,797.72,5 nights x $43.27,43.0,9.0,0,0,False,['English' 'Hindi'],2025-10-31 02:11:00
India,Bengaluru,18607456,2025-10-31,13.02084,77.59977,Bengaluru,Bengaluru,RT Nagar,RT Nagar,RT Nagar,ZEN HAVEN - 2BHK @ RT NAGAR,2.0,2,2.0,3,33559334,Vishwas,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,46,174,4.94,5.0,False,2025-11-29,2025-12-04,INR,2304.51,443.18,5 nights x $26.61,26.0,5.0,0,0,True,['English' 'Hindi'],2025-10-31 02:11:16
India,Bengaluru,1384585107170585878,2025-10-31,12.9071469,77.6918074,Bengaluru,Bengaluru,,,,2Bhk flat  in villa /gated community,2.0,2,2.0,4,562815490,Manoj,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,6,4.67,4.5,False,2025-11-01,2025-11-06,INR,2570.41,531.81,5 nights x $29.70,29.0,6.0,0,0,False,[],2025-10-31 02:11:38
India,Bengaluru,610311391435043692,2025-10-31,12.91447,77.64755,Bengaluru,Bengaluru,HSR Layout,HSR Layout,HSR Layout,Cozy 2BHK in HSR Sector 1 - [Stellaris 1B],2.0,2,2.0,6,429740694,Ranjan,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,5,6,4.83,5.0,False,2025-11-01,2025-11-06,INR,2747.68,620.45,5 nights x $31.59,31.0,7.0,0,0,True,[],2025-10-31 02:12:47
India,Bengaluru,1403407982750738659,2025-10-31,12.943608998578977,77.61840216815472,Bengaluru,Bengaluru,Koramangala,Koramangala,Koramangala,"Cozy 2BHK in Koramangala | Cafés, Clubs and Malls.",1.0,2,2.0,4,461620270,Anjana,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,8,4.75,5.0,False,2025-11-09,2025-11-14,INR,3811.31,797.72,5 nights x $43.22,43.0,9.0,0,0,True,[],2025-10-31 02:13:19
India,Bengaluru,35786048,2025-10-31,12.89119,77.58325,Bengaluru,Bengaluru,,,,Premium 1 BHK entire flat in JP Nagar - P4,1.0,1,1.0,2,256184300,Priyanka,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,58,17,4.76,5.0,False,2025-11-01,2025-11-06,INR,2924.96,620.45,5 nights x $33.75,33.0,7.0,0,0,True,[],2025-10-31 02:14:16
India,Bengaluru,54117175,2025-10-31,12.91149,77.64392,Bengaluru,Bengaluru,HSR Layout,HSR Layout,HSR Layout,Keerthi Service Apartment 1 BHK Flat @ HSR Layout,1.5,1,1.0,3,217724571,Ravi,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,21,2,,,False,2025-11-01,2025-11-06,INR,2393.14,1684.07,5 nights x $27.01,27.0,19.0,0,0,True,[],2025-10-31 02:15:21
India,Bengaluru,730668182249754171,2025-10-31,12.9138318,77.6003929,Bengaluru,Bengaluru,BTM Layout,,BTM Layout,Vasathi - The Comfort (Entire 2BHK) @BTM 2nd Stage,1.5,2,2.0,4,481772038,Dhananjaya,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,22,98,4.83,5.0,False,2025-11-01,2025-11-06,INR,4874.93,974.99,5 nights x $55.36,55.0,11.0,0,0,True,['English' 'Hindi' 'Kannada' 'Telugu'],2025-10-31 02:15:42
India,Bengaluru,1028949816365423925,2025-10-31,12.90670264587569,77.60526604950428,Bengaluru,Bengaluru,BTM Layout,BTM Layout,BTM Layout,BTM full terrace pent house,1.0,1,1.0,2,45496004,Vinay Kumar,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,76,4.87,5.0,False,2025-11-02,2025-11-07,INR,3899.94,797.72,5 nights x $44.81,44.0,9.0,0,0,True,['English' 'Hindi' 'Kannada' 'Tamil' 'Telugu'],2025-10-31 02:15:48
India,Bengaluru,1263510314987053187,2025-10-31,12.83041215076678,77.5697215382976,Bengaluru,Bengaluru,,,,Zehra - Turkish Vintage Villa,3.0,4,3.0,8,479733343,Poo,False,False,False,Entire home/flat,Entire Home,Entire bungalow,Entire bungalow,1,0,0,,,False,2025-11-01,2025-11-06,INR,8597.6,1418.16,5 nights x $97.93,97.0,16.0,0,0,False,['English' 'Hindi' 'Kannada'],2025-10-31 02:08:03
India,Bengaluru,940885990440998189,2025-10-31,12.82461,77.48908,Bengaluru,Bengaluru,,,,Luxury Private Bungalow in Bangalore,4.0,3,3.0,15,516958333,Chethan,False,False,False,Entire home/flat,Entire Home,Entire bungalow,Entire bungalow,1,28,42,4.71,4.5,False,2025-11-09,2025-11-14,INR,18524.72,13915.7,5 nights x $209.31,209.0,157.0,0,0,True,['English' 'Hindi' 'Kannada'],2025-10-31 02:08:07
India,Bengaluru,1298591352991439579,2025-10-31,12.929686382405976,77.63069945621596,Bengaluru,Bengaluru,Koramangala,Koramangala,Koramangala,4bhk Villa | Full House| Koramangala,4.0,4,6.0,10,543212169,Kundaram Ashwini,True,False,True,Entire home/flat,Entire Home,Entire bungalow,Entire bungalow,1,0,7,5.0,5.0,False,2025-11-01,2025-11-06,INR,23842.82,17815.64,5 nights x $269.63,269.0,201.0,0,0,True,['English' 'Hindi' 'Telugu'],2025-10-31 02:15:07
