Country,Location,Airbnb_ListingID,Scrape_Date,Lat,Lng,City,LocalizedCity,LocalizedNeighbourhood_Source,LocalizedNeighbourhood_ML,LocalizedNeighbourhood,ListingTitle,Bathrooms,Bedrooms,Beds,MaxGuests,Host_ID,Host_FirstName,Host_isSuperhost,isNewListing,isSuperhost,RoomType,RoomType_Clean,SpaceType,SpaceType_Clean,isHomeOrServicedApartment,PictureCount,ReviewCount,ReviewScore,StarRating,isLimitedAirbnbData,BasicNightPrice_CheckIn,BasicNightPrice_CheckOut,Currency,BasicNightPrice,Taxes,BasicNightPriceString_USD,BasicNightPrice_USD,Taxes_USD,isOverpricedPerBeds_Calc,isOverpricedPerGuest_Calc,Amenities_SelfCheckIn,HostLanguages_Verbose,RecordInserted
India,Mumbai,1176640189119304621,2025-10-29,19.15183,72.88682,Mumbai,Mumbai,Goregaon,Goregaon,Goregaon,Ultra modern Luxury 2BHK,1.0,2,2.0,8,548120095,Ahmad,False,False,False,Entire home/flat,Other,Barn,Barn,0,41,0,,,False,2025-11-01,2025-11-06,INR,9969.31,1676.26,5 nights x $113.82,113.0,19.0,0,0,False,[],2025-10-29 05:52:28
India,Mumbai,1289103415757083341,2025-10-29,19.1872,72.85846,Mumbai,Mumbai,Malad East,Malad East,Malad East,Sky View  1BHK Apartment Near Nesco & JP Morgan,1.5,1,1.0,4,579574722,Nomaan,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,20,4.7,4.5,False,2025-11-01,2025-11-06,INR,4940.54,970.46,5 nights x $56.26,56.0,11.0,0,0,True,['English' 'Hindi'],2025-10-29 05:52:35
India,Mumbai,969688844079318669,2025-10-29,19.0672,72.87553,Mumbai,Mumbai,Kurla West,Kurla West,Kurla West,Artist's Retreat ~ 5*Amenities ~ Workspace,1.0,1,1.0,3,70686782,Nikhil,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,9,124,4.92,5.0,False,2025-11-01,2025-11-06,INR,6528.58,1588.03,5 nights x $74.12,74.0,18.0,0,0,True,['English' 'Hindi' 'Panjabi'],2025-10-29 05:52:46
India,Mumbai,30099080,2025-10-29,19.04807,72.82578,Mumbai,Mumbai,ONGC Colony Bandra West,ONGC Colony Bandra West,ONGC Colony Bandra West,Trendy 1BHK apartment in Vibrant  Bandra West,1.0,1,1.0,6,205956031,Umair,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,12,98,4.86,5.0,False,2025-12-18,2025-12-23,INR,13939.39,10410.43,5 nights x $158.16,158.0,118.0,0,0,True,['English' 'Hindi'],2025-10-29 05:53:10
India,Mumbai,1375196514528566728,2025-10-29,18.979858087518913,72.82544841002378,Mumbai,Mumbai,Lower Parel,Lower Parel,Lower Parel,Sunset View 2bhk 10 mins to Mahalaxmi Race Course,2.0,2,3.0,6,223485120,OSI Apartments,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,17,4.59,4.5,False,2025-11-19,2025-11-24,INR,10939.78,9881.09,5 nights x $124.80,124.0,112.0,0,0,True,['English' 'Hindi'],2025-10-29 05:53:14
India,Mumbai,1314223363934302448,2025-10-29,19.20149825845548,72.81425200402737,Mumbai,Mumbai,Malad West,,Malad West,Airnest Stays - Bohemian Cosy Apartment,1.0,2,1.0,4,291822175,Kirti Swaraj,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,20,4.8,5.0,False,2025-11-23,2025-11-28,INR,3705.41,705.79,5 nights x $42.70,42.0,8.0,0,0,True,['English' 'Hindi'],2025-10-29 05:53:17
India,Mumbai,1525398582002647552,2025-10-29,19.1239193,72.9107733,Mumbai,Mumbai,,,,Casa Bohemia 2 BHK Apt in Powai by Estella Stays,2.0,2,2.0,7,592316067,Vaibhav,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,5,5.0,5.0,False,2025-11-01,2025-11-06,INR,9263.52,6969.7,5 nights x $105.80,105.0,79.0,0,0,False,['English' 'Hindi'],2025-10-29 05:53:27
India,Mumbai,588168361748723907,2025-10-29,19.12117,72.88174,Mumbai,Mumbai,Andheri East,Andheri East,Andheri East,“The Canvas”  your earthy abode,2.0,2,2.0,4,95569338,Suranjana,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,67,20,4.9,5.0,False,2025-12-03,2025-12-08,INR,7587.26,1499.81,5 nights x $86.16,86.0,17.0,0,0,True,['Bengali' 'English' 'Hindi'],2025-10-29 05:53:48
India,Mumbai,1386795275235807763,2025-10-29,19.1053852,72.8622097,Mumbai,Mumbai,Andheri East,Andheri East,Andheri East,Refreshing 2BHK Attached Balcony 7 Mins to Airport,2.0,2,3.0,6,223485120,OSI Apartments,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,0,,,False,2025-11-07,2025-11-12,INR,8645.95,7763.71,5 nights x $98.72,98.0,88.0,0,0,True,['English' 'Hindi'],2025-10-29 05:54:17
India,Mumbai,1433081435109633226,2025-10-29,19.114149320825025,72.83129272403485,Mumbai,Mumbai,Juhu,Juhu,Juhu,Modern Apartment in Juhu - 5 mins frm Silver Beach,2.0,2,3.0,6,56933820,Anisha,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,13,5.0,5.0,False,2025-11-04,2025-11-09,INR,12263.14,7587.26,5 nights x $139.58,139.0,86.0,0,0,True,['English' 'Hindi' 'Spanish'],2025-10-29 05:54:31
