,Location,Lat,Lng,City,LocalizedNeighbourhood,Bathrooms,Bedrooms,Beds,Host_ID,isNewListing,isSuperhost,RoomType,SpaceType,isHomeOrServicedApartment,BasicNightPrice,Taxes,Total_Price
1,Bengaluru,13.0155,77.67148,Bengaluru,Ramamurthy Nagar,2.5,0.0,3.0,222363015,False,False,Entire home/flat,Entire apartment,1,3545.4,709.08,4254.4800000000005
2,Bengaluru,12.867241109014824,77.55796918706581,Bengaluru,Unknown-Bengaluru,1.0,1.0,1.0,666454316,False,False,Entire home/flat,Entire apartment,1,2836.32,443.18,3279.5
3,Bengaluru,12.98272,77.70497,Bengaluru,Mahadevapura,1.0,1.0,2.0,184352014,False,False,Entire home/flat,Entire apartment,1,1772.7,443.18,2215.88
4,Bengaluru,12.98348,77.70584,Bengaluru,Mahadevapura,1.5,1.0,1.0,184352014,False,False,Entire home/flat,Entire apartment,1,1772.7,443.18,2215.88
6,Bengaluru,12.9084965,77.55083499999999,Bengaluru,Kumaraswamy Layout,2.0,2.0,1.0,31305424,False,False,Entire home/flat,Entire apartment,1,1949.97,354.54,2304.51
7,Bengaluru,13.07021514682732,77.65371940969335,Bengaluru,Narayanpur,1.0,1.0,1.0,593322871,False,True,Entire home/flat,Entire apartment,1,1949.97,443.18,2393.15
8,Bengaluru,13.07145,77.65265,Bengaluru,Narayanpur,2.0,2.0,2.0,593322871,False,True,Entire home/flat,Entire apartment,1,2570.41,620.45,3190.8599999999997
9,Bengaluru,13.0589327,77.6312986,Bengaluru,Thanisandra Nagavara,2.0,2.0,2.0,232048051,False,True,Entire home/flat,Entire apartment,1,4254.48,886.35,5140.83
10,Bengaluru,13.0154,77.65697,Bengaluru,Banaswadi,2.0,2.0,2.0,189693075,False,True,Entire home/flat,Entire apartment,1,4165.85,797.72,4963.570000000001
11,Bengaluru,13.005260581442895,77.6530025955279,Bengaluru,Banaswadi,1.0,1.0,1.0,232048051,False,True,Entire home/flat,Entire apartment,1,2481.78,531.81,3013.59
13,Bengaluru,13.07112,77.59689,Bengaluru,Unknown-Bengaluru,2.0,2.0,4.0,66057252,False,False,Entire home/flat,Entire apartment,1,3811.31,797.72,4609.03
14,Bengaluru,13.02084,77.59977,Bengaluru,RT Nagar,2.0,2.0,2.0,33559334,False,True,Entire home/flat,Entire apartment,1,2304.51,443.18,2747.69
15,Bengaluru,12.9071469,77.6918074,Bengaluru,Unknown-Bengaluru,2.0,2.0,2.0,562815490,False,False,Entire home/flat,Entire apartment,1,2570.41,531.81,3102.22
16,Bengaluru,12.91447,77.64755,Bengaluru,HSR Layout,2.0,2.0,2.0,429740694,False,False,Entire home/flat,Entire apartment,1,2747.68,620.45,3368.13
17,Bengaluru,12.943608998578975,77.61840216815472,Bengaluru,Koramangala,1.0,2.0,2.0,461620270,False,False,Entire home/flat,Entire apartment,1,3811.31,797.72,4609.03
18,Bengaluru,12.89119,77.58325,Bengaluru,Unknown-Bengaluru,1.0,1.0,1.0,256184300,False,True,Entire home/flat,Entire apartment,1,2924.96,620.45,3545.41
19,Bengaluru,12.91149,77.64392,Bengaluru,HSR Layout,1.5,1.0,1.0,217724571,False,False,Entire home/flat,Entire apartment,1,2393.14,1684.07,4077.21
20,Bengaluru,12.9138318,77.6003929,Bengaluru,BTM Layout,1.5,2.0,2.0,481772038,False,True,Entire home/flat,Entire apartment,1,4874.93,974.99,5849.92
21,Bengaluru,12.90670264587569,77.60526604950428,Bengaluru,BTM Layout,1.0,1.0,1.0,45496004,False,True,Entire home/flat,Entire apartment,1,3899.94,797.72,4697.66
25,Bengaluru,13.154347651776552,77.57528699934483,Singanayakanahalli,Unknown-Bengaluru,1.0,1.0,1.0,37203936,False,False,Entire home/flat,Entire cottage,1,4431.75,1063.62,5495.37
26,Bengaluru,12.9101801,77.5350631,Bengaluru,Raja Rajeshwari Nagar,3.0,2.0,3.0,485619793,False,True,Entire home/flat,Entire guest house,1,2215.88,354.54,2570.42
27,Bengaluru,13.04801,77.63813,Bengaluru,Unknown-Bengaluru,1.0,1.0,3.0,722617750,True,False,Entire home/flat,Entire guest house,1,1772.7,265.91,2038.6100000000001
28,Bengaluru,12.96649,77.73497,Bengaluru,Whitefield,1.0,1.0,2.0,15471648,False,True,Entire home/flat,Entire guest house,1,2393.14,0.0,2393.14
29,Bengaluru,12.95387547282715,77.65516820373517,Bengaluru,HAL Airport Area,1.0,1.0,1.0,519207273,False,True,Entire home/flat,Entire guest house,1,1506.8,265.91,1772.71
30,Bengaluru,12.9680384,77.6376286,Bengaluru,Domlur,1.0,1.0,1.0,496556049,False,True,Entire home/flat,Entire guest house,1,4786.29,797.72,5584.01
31,Bengaluru,12.94559,77.59877,Bengaluru,Raghav Nagar,1.0,1.0,1.0,147155837,False,True,Entire home/flat,Entire guest house,1,2481.78,620.45,3102.2300000000005
32,Bengaluru,12.994249,77.656624,Bengaluru,Benniganahalli,1.0,1.0,1.0,24329476,False,True,Entire home/flat,Entire guest suite,1,2127.24,443.18,2570.4199999999996
34,Bengaluru,13.09247,77.74464,Bengaluru,Unknown-Bengaluru,1.0,1.0,4.0,186900051,False,True,Entire home/flat,Entire home,1,2481.78,443.18,2924.96
37,Bengaluru,13.120367685293328,77.6287018507719,Bengaluru,Unknown-Bengaluru,1.0,1.0,1.0,442049548,False,False,Entire home/flat,Entire home,1,974.99,177.27,1152.26
38,Bengaluru,13.12009,77.62955,Bengaluru,Unknown-Bengaluru,1.5,1.0,2.0,40761488,False,False,Entire home/flat,Entire home,1,1240.89,265.91,1506.8000000000002
42,Bengaluru,12.97395,77.68432,Bengaluru,Unknown-Bengaluru,1.0,1.0,1.0,161051230,False,False,Entire home/flat,Entire home,1,1772.7,354.54,2127.2400000000002
43,Bengaluru,12.85342,77.67409,Bengaluru,Unknown-Bengaluru,1.0,1.0,2.0,150725538,False,False,Entire home/flat,Entire home,1,1506.8,265.91,1772.71
44,Bengaluru,12.899568144391557,77.67381650898436,Kasavanahalli,Bellandur,3.0,3.0,6.0,395583047,False,False,Entire home/flat,Entire home,1,6027.18,1418.16,7445.34
45,Bengaluru,12.847093096455112,77.64274801298289,Bengaluru,Unknown-Bengaluru,1.0,1.0,2.0,384535337,False,False,Entire home/flat,Entire home,1,1418.16,265.91,1684.0700000000002
46,Bengaluru,12.84705658147238,77.64274458570554,Bengaluru,Unknown-Bengaluru,2.0,2.0,3.0,384535337,False,False,Entire home/flat,Entire home,1,1949.97,354.54,2304.51
47,Bengaluru,12.847076280973894,77.64274514313857,Bengaluru,Unknown-Bengaluru,1.0,1.0,2.0,384535337,False,False,Entire home/flat,Entire home,1,1506.8,265.91,1772.71
48,Bengaluru,13.032956046706463,77.50087390821962,Bengaluru,Peenya,1.0,2.0,4.0,580302180,False,False,Entire home/flat,Entire home,1,3456.77,531.81,3988.58
49,Bengaluru,12.94977,77.55187,Bengaluru,Srinagar,3.0,4.0,4.0,389058372,False,False,Entire home/flat,Entire home,1,6293.09,1240.89,7533.9800000000005
50,Bengaluru,12.9923,77.53342,Bengaluru,Basaveshwara Nagar,1.0,1.0,1.0,163167699,False,False,Entire home/flat,Entire home,1,1595.43,265.91,1861.3400000000001
51,Bengaluru,13.09078,77.65123,Bengaluru,Bangalore,2.0,2.0,3.0,394792542,False,False,Entire home/flat,Entire home,1,2924.96,620.45,3545.41
52,Bengaluru,13.012281249828204,77.6496834307909,Bengaluru,Banaswadi,2.5,2.0,2.0,485785243,False,False,Entire home/flat,Entire home,1,3811.31,797.72,4609.03
53,Bengaluru,13.01451,77.66512,Bengaluru,Ramamurthy Nagar,2.0,3.0,4.0,222363015,False,False,Entire home/flat,Entire home,1,4165.85,797.72,4963.570000000001
54,Bengaluru,13.0339,77.6389,Bengaluru,HBR Layout,1.0,2.0,4.0,152002490,False,True,Entire home/flat,Entire home,1,2127.24,443.18,2570.4199999999996
55,Bengaluru,13.053938599418531,77.60571242938055,Bengaluru,Hebbal Kempapura,2.0,2.0,2.0,133414740,False,True,Entire home/flat,Entire home,1,3634.04,709.08,4343.12
56,Bengaluru,13.062723925937489,77.57850967347622,Bengaluru,Sahakar Nagar,2.0,2.0,2.0,2443426,False,True,Entire home/flat,Entire home,1,3013.59,620.45,3634.04
57,Bengaluru,13.0647679,77.5798138,Bengaluru,Sahakar Nagar,2.0,2.0,3.0,32121252,False,True,Entire home/flat,Entire home,1,3279.5,620.45,3899.95
58,Bengaluru,13.038279886773193,77.60048361271973,Bengaluru,Hebbal,2.5,2.0,2.0,338921261,False,False,Entire home/flat,Entire home,1,1861.34,354.54,2215.88
59,Bengaluru,12.96818,77.65144,Bengaluru,New Tippasandra,1.0,1.0,2.0,43171570,False,True,Entire home/flat,Entire home,1,7002.16,1418.16,8420.32
60,Bengaluru,12.95559,77.65091,Bengaluru,Unknown-Bengaluru,1.0,1.0,1.0,519533252,False,False,Entire home/flat,Entire home,1,1949.97,354.54,2304.51
61,Bengaluru,12.97092,77.6495,Bengaluru,New Tippasandra,2.0,2.0,2.0,33784961,False,False,Entire home/flat,Entire home,1,3190.86,620.45,3811.3100000000004
62,Bengaluru,12.90687,77.65046,Bengaluru,HSR Layout,1.0,1.0,1.0,429740694,False,False,Entire home/flat,Entire home,1,1684.07,354.54,2038.61
63,Bengaluru,12.91077,77.64996,Bengaluru,HSR Layout,1.0,1.0,1.0,708323350,False,False,Entire home/flat,Entire home,1,2659.05,443.18,3102.23
64,Bengaluru,12.89181,77.63054,Bengaluru,Begur,1.0,1.0,1.0,445164618,False,False,Entire home/flat,Entire home,1,1152.26,177.27,1329.53
65,Bengaluru,12.884612662144168,77.61418961246162,Bengaluru,Unknown-Bengaluru,1.5,1.0,1.0,208824972,False,True,Entire home/flat,Entire home,1,1329.53,265.91,1595.44
66,Bengaluru,12.8648337,77.6136847,Bengaluru,Unknown-Bengaluru,1.0,0.0,1.0,150725538,False,False,Entire home/flat,Entire home,1,1240.89,265.91,1506.8000000000002
67,Bengaluru,12.891002753681104,77.59170345962049,Bengaluru,Unknown-Bengaluru,3.0,3.0,3.0,150725538,False,False,Entire home/flat,Entire home,1,3545.4,709.08,4254.4800000000005
